dataset,algorithm,variant,metric,metric_group,n,mean,median,trimean,best_25,worst_25,max,min
nus8extended,gray_edge,first_order,recovery_delta_e_2000,single_illuminant_errors,1853,3.541645,2.897368,3.076534,1.077569,7.043664,17.613373,0.022134
nus8extended,gray_edge,first_order,reproduction_angular_error,single_illuminant_errors,1853,5.123543,4.331899,4.555546,1.614865,9.965159,25.769398,0.03852
nus8extended,gray_edge,first_order,reproduction_delta_e_2000,single_illuminant_errors,1853,8.44149,7.795436,7.901795,3.3557,14.550665,24.838555,0.059724
nus8extended,gray_pixels,qian_gi,angular_error,single_illuminant_errors,1853,4.159202,2.876396,3.248354,0.858868,9.585441,25.717937,0.050344
nus8extended,gray_pixels,qian_gi,recovery_angular_error,single_illuminant_errors,1853,4.159202,2.876396,3.248354,0.858868,9.585441,25.717937,0.050344
nus8extended,gray_pixels,qian_gi,recovery_delta_e_2000,single_illuminant_errors,1853,3.631929,2.436865,2.764542,0.703688,8.567487,34.308158,0.039033
nus8extended,gray_pixels,qian_gi,reproduction_angular_error,single_illuminant_errors,1853,5.487704,3.900937,4.318683,1.104307,12.538243,29.426497,0.049678
nus8extended,gray_pixels,qian_gi,reproduction_delta_e_2000,single_illuminant_errors,1853,7.615875,6.155393,6.576715,2.136539,15.604333,27.824901,0.17076
nus8extended,gray_pixels,yang,angular_error,single_illuminant_errors,1853,3.452436,2.46681,2.786064,0.756115,7.807964,18.131074,0.028768
nus8extended,gray_pixels,yang,recovery_angular_error,single_illuminant_errors,1853,3.452436,2.46681,2.786064,0.756115,7.807964,18.131074,0.028768
nus8extended,gray_pixels,yang,recovery_delta_e_2000,single_illuminant_errors,1853,2.963341,2.140604,2.390779,0.623872,6.689309,15.82122,0.025428
nus8extended,gray_pixels,yang,reproduction_angular_error,single_illuminant_errors,1853,4.66843,3.349997,3.775541,0.958844,10.561321,24.254211,0.037123
nus8extended,gray_pixels,yang,reproduction_delta_e_2000,single_illuminant_errors,1853,6.495417,5.226312,5.679031,1.871954,13.035876,25.251539,0.070153
nus8extended,gray_world,naive,angular_error,single_illuminant_errors,1853,4.131256,3.152384,3.374485,0.91566,9.091013,22.415089,0.076863
nus8extended,gray_world,naive,recovery_angular_error,single_illuminant_errors,1853,4.131256,3.152384,3.374485,0.91566,9.091013,22.415089,0.076863
nus8extended,gray_world,naive,recovery_delta_e_2000,single_illuminant_errors,1853,3.53615,2.665749,2.875126,0.755337,7.825307,20.66061,0.061878
nus8extended,gray_world,naive,reproduction_angular_error,single_illuminant_errors,1853,5.424396,4.247942,4.496432,1.149001,11.796629,24.689484,0.081098
nus8extended,gray_world,naive,reproduction_delta_e_2000,single_illuminant_errors,1853,7.433575,6.394779,6.690746,2.254018,14.300263,24.832871,0.207647
